VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
IGL          2016-11-04      74.61    83.95   +12.5%  W    90 time_up 
CGPOWER      2016-11-07      84.86    71.62   -15.6%  L    10 sl_hit  
HINDALCO     2016-11-08     158.09   179.52   +13.6%  W    90 time_up 
CUB          2016-11-09     116.51   128.40   +10.2%  W    90 time_up 
DRREDDY      2016-11-09     617.30   554.40   -10.2%  L    70 sl_hit  
APLAPOLLO    2016-11-10      91.21    83.48    -8.5%  L     5 sl_hit  
BANKINDIA    2016-11-10     109.13    94.63   -13.3%  L    42 sl_hit  
MANAPPURAM   2016-11-10      85.11    62.43   -26.6%  L     5 sl_hit  
NHPC         2016-11-10      16.52    15.21    -7.9%  L     6 sl_hit  
POWERGRID    2016-11-10      67.55    72.08    +6.7%  W    90 time_up 
SBIN         2016-11-10     257.23   253.48    -1.5%  L    90 time_up 
GRAVITA      2016-11-11      35.63    31.31   -12.1%  L    10 sl_hit  
NHPC         2016-11-18      16.39    20.50   +25.0%  W    90 time_up 
NTPC         2016-11-18      92.92   101.03    +8.7%  W    90 time_up 
PFC          2016-11-25      60.83    61.86    +1.7%  W    90 time_up 
PIIND        2016-11-25     869.21   832.60    -4.2%  L    90 time_up 
BEL          2016-11-28      35.32    38.53    +9.1%  W    91 time_up 
GRAVITA      2016-11-28      38.05    42.61   +12.0%  W    91 time_up 
BHARTIARTL   2016-11-29     278.41   304.85    +9.5%  W    90 time_up 
CCL          2016-11-30     230.50   309.56   +34.3%  W    90 time_up 
KPRMILL      2016-11-30     115.77   112.90    -2.5%  L    90 time_up 
TARIL        2016-11-30      18.05    19.94   +10.5%  W    90 time_up 
ONGC         2016-12-01     117.93   118.72    +0.7%  W    90 time_up 
SONATSOFTW   2016-12-09      46.42    52.35   +12.8%  W    90 time_up 
BHARATFORG   2016-12-13     467.03   485.26    +3.9%  W    91 time_up 
NEULANDLAB   2016-12-13    1019.52   882.09   -13.5%  L    49 sl_hit  
MPHASIS      2016-12-14     426.55   461.03    +8.1%  W    90 time_up 
