VCP SETUP B — 2126 stocks — 2015-2026
Total: 2322 | WR: 54.1% | R:R: 2.12 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
TVSMOTOR     2017-06-02     516.72   577.35   +11.7%  W    90 time_up 
BRIGADE      2017-06-05     172.66   168.11    -2.6%  L    91 time_up 
KARURVYSYA   2017-06-05      79.98    93.27   +16.6%  W    91 time_up 
HCLTECH      2017-06-06     349.99   339.41    -3.0%  L    90 time_up 
NATCOPHARM   2017-06-07     925.41   770.43   -16.8%  L    63 sl_hit  
ELGIEQUIP    2017-06-15     111.14   111.16    +0.0%  W    90 time_up 
MAHSEAMLES   2017-06-19     174.97   198.55   +13.5%  W    91 time_up 
SUNDRMFAST   2017-06-20     412.82   439.01    +6.3%  W    90 time_up 
PHOENIXLTD   2017-06-23     220.36   242.33   +10.0%  W    90 time_up 
WELCORP      2017-06-28      91.95   107.99   +17.4%  W    90 time_up 
PGEL         2017-06-29      27.19    37.20   +36.8%  W    90 time_up 
